REF,MASSE,MAT,NBOP,DIAM,EAU,PRIX
AXE1,4.370861069626263,inox,5,42.10158230771439,147.967675394136,28.620901955188877
AXE2,9.556428757689245,Acier,3,14.206998249752441,907.4252613455883,31.32624509239887
AXE3,7.587945476302646,Acier,1,18.081435704730687,529.9897538254643,28.98135454345249
AXE4,6.387926357773329,inox,6,54.927709426353964,835.1345928023545,43.41484174465031
AXE5,2.4041677639819286,Acier,3,40.321452982979494,354.04712097908117,25.741286702508503
AXE6,2.403950683025824,Acier,2,10.459852580831482,900.7470670713905,13.05590886423705
AXE7,1.5227525095137953,Acier,4,15.073577143301605,419.741594797455,24.60333520323489
AXE8,8.795585311974417,inox,5,43.17508845540279,60.29576890628344,39.9579903005717
AXE9,6.41003510568888,Acier,1,10.253079192310935,910.1128775983004,23.549111043553307
AXE10,7.372653200164409,inox,5,18.04040257087493,136.72234294682687,26.202630668905663
AXE11,1.185260448662222,Acier,2,37.436689468329305,353.3479557108941,24.060704940143886
AXE12,9.72918866945795,Acier,5,44.59475988463466,952.5588686982646,50.17649797054976
AXE13,8.491983767203795,Acier,1,42.59806297513003,953.0767895906783,50.88460041809651
AXE14,2.9110519961044856,inox,2,21.213465473027988,594.7659937171218,26.164035216130706
AXE15,2.636424704863906,Acier,5,45.6089610673768,650.2453515613093,31.92727772097666
AXE16,2.650640588680904,inox,4,21.862454374840006,476.02324587940376,18.11364962035245
AXE17,3.7381801866358395,inox,6,26.269984907963387,328.5502331131613,22.521596672626767
AXE18,5.72280788469014,inox,2,47.32457025590121,362.2313181014202,27.220608254667162
AXE19,4.887505167779041,Acier,6,42.48164495236073,688.8925332731865,30.328802833477553
AXE20,3.6210622617823773,Acier,2,52.4611705247089,764.755802965796,47.954639152799786
AXE21,6.506676052501415,Acier,4,42.88064461501717,802.0000915395561,50.6985138954134
AXE22,2.2554447458683766,Acier,6,38.41543016677358,800.1372356548262,30.474796733889914
AXE23,3.629301836816963,inox,3,14.683738391404624,136.64579789625583,18.849715663577626
AXE24,4.297256589643226,inox,1,28.385790152971676,519.6992894674524,29.540651923164496
AXE25,5.104629857953324,inox,3,23.260118384086272,104.68082201581207,38.280531170384094
AXE26,8.066583652537123,Acier,5,22.199482168954177,572.0524382075488,38.55130732879971
AXE27,2.7970640394252375,inox,4,58.65052773762228,469.4539763047082,38.974343753304865
